is_grand_final,updated,hteamid,timestr,complete,tz,unixtime,winner,ascore,hgoals,ateam,abehinds,is_final,date,hbehinds,hteam,venue,winnerteamid,round,hscore,agoals,id,ateamid,localtime,year,roundname
0,2022-01-25 11:07:11,10,Full Time,100,+10:00,1179565800,Hawthorn,44,10,St Kilda,8,0,2007-05-19 19:10:00,12,Hawthorn,M.C.G.,10.0,8,72,6,9476,15,2007-05-19 19:10:00,2007,Round 8
0,2022-01-25 11:07:11,12,Full Time,100,+10:00,1179565800,North Melbourne,130,22,Carlton,10,0,2007-05-19 19:10:00,15,North Melbourne,Carrara,12.0,8,147,20,9475,3,2007-05-19 19:10:00,2007,Round 8
0,2022-01-25 11:07:11,16,Full Time,100,+10:00,1179630600,Sydney,87,17,Port Adelaide,9,0,2007-05-20 13:10:00,16,Sydney,S.C.G.,16.0,8,118,13,9477,13,2007-05-20 13:10:00,2007,Round 8
0,2022-01-25 11:07:11,17,Full Time,100,+10:00,1179636000,West Coast,60,19,Melbourne,6,0,2007-05-20 14:40:00,23,West Coast,Subiaco,17.0,8,137,9,9479,11,2007-05-20 12:40:00,2007,Round 8
0,2022-01-25 11:07:11,18,Full Time,100,+10:00,1179634200,Western Bulldogs,102,20,Collingwood,18,0,2007-05-20 14:10:00,15,Western Bulldogs,Docklands,18.0,8,135,14,9478,4,2007-05-20 14:10:00,2007,Round 8
0,2022-01-25 11:07:11,2,Full Time,100,+10:00,1180170900,Collingwood,120,13,Collingwood,12,0,2007-05-26 19:15:00,9,Brisbane Lions,Gabba,4.0,9,87,18,9484,4,2007-05-26 19:15:00,2007,Round 9
0,2022-01-25 11:07:11,3,Full Time,100,+10:00,1180152600,Adelaide,105,12,Adelaide,15,0,2007-05-26 14:10:00,14,Carlton,Docklands,1.0,9,86,15,9481,1,2007-05-26 14:10:00,2007,Round 9
0,2022-01-25 11:07:11,6,Full Time,100,+10:00,1180082400,Fremantle,55,15,St Kilda,19,0,2007-05-25 18:40:00,11,Fremantle,Subiaco,6.0,9,101,6,9480,15,2007-05-25 16:40:00,2007,Round 9
0,2022-01-25 11:07:11,10,Full Time,100,+10:00,1180152600,Hawthorn,64,15,West Coast,16,0,2007-05-26 14:10:00,9,Hawthorn,York Park,10.0,9,99,8,9482,17,2007-05-26 14:10:00,2007,Round 9
0,2022-01-25 11:07:11,11,Full Time,100,+10:00,1180239000,North Melbourne,79,11,North Melbourne,19,0,2007-05-27 14:10:00,12,Melbourne,M.C.G.,12.0,9,78,10,9486,12,2007-05-27 14:10:00,2007,Round 9
