venue,hbehinds,hteam,winnerteamid,round,agoals,hscore,is_final,date,year,localtime,roundname,id,ateamid,timestr,complete,tz,is_grand_final,updated,hteamid,ascore,winner,hgoals,abehinds,ateam,unixtime
Manuka Oval,11,Greater Western Sydney,18.0,8,13,71,0,2023-05-06 19:30:00,2023,2023-05-06 19:30:00,Round 8,34327,18,Full Time,100,+10:00,0,2023-05-06 22:06:29,9,86,Western Bulldogs,10,8,Western Bulldogs,1683365400
Docklands,10,North Melbourne,15.0,8,8,34,0,2023-05-07 16:40:00,2023,2023-05-07 16:40:00,Round 8,34331,15,Full Time,100,+10:00,0,2023-05-07 19:02:42,12,64,St Kilda,4,16,St Kilda,1683441600
Adelaide Oval,20,Port Adelaide,13.0,8,13,92,0,2023-05-07 13:10:00,2023,2023-05-07 12:40:00,Round 8,34329,5,Full Time,100,+10:00,0,2023-05-07 15:46:22,13,87,Port Adelaide,12,9,Essendon,1683429000
M.C.G.,14,Richmond,14.0,8,8,104,0,2023-05-06 13:45:00,2023,2023-05-06 13:45:00,Round 8,34324,17,Full Time,100,+10:00,0,2023-05-06 16:28:23,14,58,Richmond,15,10,West Coast,1683344700
Adelaide Oval,7,Adelaide,1.0,9,10,121,0,2023-05-14 13:10:00,2023,2023-05-14 12:40:00,Round 9,34339,15,Full Time,100,+10:00,0,2023-05-14 15:51:43,1,69,Adelaide,19,9,St Kilda,1684033800
Gabba,15,Brisbane Lions,2.0,9,6,87,0,2023-05-13 19:25:00,2023,2023-05-13 19:25:00,Round 9,34337,5,Full Time,100,+10:00,0,2023-05-13 22:00:08,2,45,Brisbane Lions,12,9,Essendon,1683969900
Docklands,11,Carlton,18.0,9,11,59,0,2023-05-13 19:30:00,2023,2023-05-13 19:30:00,Round 9,34338,18,Full Time,100,+10:00,0,2023-05-13 22:10:39,3,79,Western Bulldogs,8,13,Western Bulldogs,1683970200
M.C.G.,12,Collingwood,4.0,9,7,120,0,2023-05-14 16:40:00,2023,2023-05-14 16:40:00,Round 9,34340,9,Full Time,100,+10:00,0,2023-05-14 19:15:24,4,55,Collingwood,18,13,Greater Western Sydney,1684046400
M.C.G.,7,Hawthorn,11.0,9,15,49,0,2023-05-13 16:35:00,2023,2023-05-13 16:35:00,Round 9,34336,11,Full Time,100,+10:00,0,2023-05-13 19:08:58,10,103,Melbourne,7,13,Melbourne,1683959700
Bellerive Oval,5,North Melbourne,13.0,9,20,65,0,2023-05-13 14:10:00,2023,2023-05-13 14:10:00,Round 9,34335,13,Full Time,100,+10:00,0,2023-05-13 16:52:00,12,135,Port Adelaide,10,15,Port Adelaide,1683951000
