unixtime,winner,ascore,hgoals,abehinds,ateam,is_grand_final,updated,hteamid,timestr,complete,tz,id,ateamid,year,localtime,roundname,is_final,date,venue,hbehinds,hteam,winnerteamid,round,agoals,hscore
898245600,West Coast,83,11,17,West Coast,0,2022-11-10 21:14:18,5,,100,+11:00,21846,17,1998,1998-06-19 18:40:00,Round 13,0,1998-06-19 19:40:00,M.C.G.,6,Essendon,17.0,13,11,72
898402800,Fremantle,68,10,8,Carlton,0,2022-11-10 21:14:18,6,,100,+11:00,21853,3,1998,1998-06-21 12:20:00,Round 13,0,1998-06-21 15:20:00,Subiaco,16,Fremantle,6.0,13,10,76
898312200,Brisbane Lions,106,12,16,Brisbane Lions,0,2022-11-10 21:14:18,7,,100,+11:00,21848,2,1998,1998-06-20 13:10:00,Round 13,0,1998-06-20 14:10:00,Kardinia Park,8,Geelong,2.0,13,15,80
898312200,Hawthorn,112,17,10,North Melbourne,0,2022-11-10 21:14:18,10,,100,+11:00,21849,12,1998,1998-06-20 13:10:00,Round 13,0,1998-06-20 14:10:00,Waverley Park,12,Hawthorn,10.0,13,17,114
898398600,St Kilda,127,5,13,St Kilda,0,2022-11-10 21:14:18,11,,100,+11:00,21851,15,1998,1998-06-21 13:10:00,Round 13,0,1998-06-21 14:10:00,M.C.G.,12,Melbourne,15.0,13,19,42
898335600,Port Adelaide,39,11,9,Western Bulldogs,0,2022-11-10 21:14:18,13,,100,+11:00,21850,18,1998,1998-06-20 19:10:00,Round 13,0,1998-06-20 20:40:00,Football Park,7,Port Adelaide,13.0,13,5,73
898400400,Sydney,91,16,13,Richmond,0,2022-11-10 21:14:18,16,,100,+11:00,21852,14,1998,1998-06-21 13:40:00,Round 13,0,1998-06-21 14:40:00,S.C.G.,6,Sydney,16.0,13,13,102
899005200,Brisbane Lions,83,19,11,Collingwood,0,2022-11-10 21:14:18,2,,100,+11:00,21904,4,1998,1998-06-28 13:40:00,Round 14,0,1998-06-28 14:40:00,Gabba,21,Brisbane Lions,2.0,14,12,135
898917000,Carlton,76,13,10,Hawthorn,0,2022-11-10 21:14:18,3,,100,+11:00,21899,10,1998,1998-06-27 13:10:00,Round 14,0,1998-06-27 14:10:00,Princes Park,14,Carlton,3.0,14,11,92
898850400,North Melbourne,109,19,13,Essendon,0,2022-11-10 21:14:18,12,,100,+11:00,21898,5,1998,1998-06-26 18:40:00,Round 14,0,1998-06-26 19:40:00,M.C.G.,13,North Melbourne,12.0,14,16,127
898940400,Port Adelaide,73,13,13,Geelong,0,2022-11-10 21:14:18,13,,100,+11:00,21902,7,1998,1998-06-27 19:10:00,Round 14,0,1998-06-27 20:40:00,Football Park,13,Port Adelaide,13.0,14,10,91
898917000,Richmond,55,23,7,Fremantle,0,2022-11-10 21:14:18,14,,100,+11:00,21901,6,1998,1998-06-27 13:10:00,Round 14,0,1998-06-27 14:10:00,M.C.G.,7,Richmond,14.0,14,8,145
898917000,St Kilda,72,12,12,Western Bulldogs,0,2022-11-10 21:14:18,15,,100,+11:00,21900,18,1998,1998-06-27 13:10:00,Round 14,0,1998-06-27 14:10:00,Waverley Park,15,St Kilda,15.0,14,10,87
899005200,Adelaide,124,12,16,Adelaide,0,2022-11-10 21:14:18,16,,100,+11:00,21903,1,1998,1998-06-28 13:40:00,Round 14,0,1998-06-28 14:40:00,S.C.G.,15,Sydney,1.0,14,18,87
899007600,Melbourne,96,11,12,Melbourne,0,2022-11-10 21:14:18,17,,100,+11:00,21905,11,1998,1998-06-28 12:20:00,Round 14,0,1998-06-28 15:20:00,Subiaco,13,West Coast,11.0,14,14,79
899610000,Adelaide,35,9,11,Hawthorn,0,2022-11-10 21:14:18,1,,100,+11:00,21772,10,1998,1998-07-05 13:10:00,Round 15,0,1998-07-05 14:40:00,Football Park,14,Adelaide,1.0,15,4,68
899541600,West Coast,76,6,10,West Coast,0,2022-11-10 21:14:18,2,,100,+11:00,21770,17,1998,1998-07-04 18:40:00,Round 15,0,1998-07-04 19:40:00,Gabba,13,Brisbane Lions,17.0,15,11,49
