unixtime,winner,ascore,hgoals,abehinds,ateam,is_grand_final,updated,hteamid,complete,timestr,tz,id,ateamid,year,localtime,roundname,is_final,date,venue,hteam,hbehinds,winnerteamid,round,hscore,agoals
1558152600,Brisbane Lions,92,13,14,Adelaide,0,2019-05-18 16:52:02,2,100,Full Time,+10:00,3181,1,2019,2019-05-18 14:10:00,Round 9,0,2019-05-18 14:10:00,Gabba,Brisbane Lions,15,2,9,93,13
1558151100,Collingwood,71,17,11,St Kilda,0,2019-05-18 16:22:03,4,100,Full Time,+10:00,3169,15,2019,2019-05-18 13:45:00,Round 9,0,2019-05-18 13:45:00,M.C.G.,Collingwood,10,4,9,112,10
1558171500,Essendon,53,8,11,Fremantle,0,2019-05-18 21:54:03,5,100,Full Time,+10:00,3183,6,2019,2019-05-18 19:25:00,Round 9,0,2019-05-18 19:25:00,Marvel Stadium,Essendon,12,5,9,60,7
1558161300,Geelong,89,21,11,Western Bulldogs,0,2019-05-18 19:16:02,7,100,Full Time,+10:00,3182,18,2019,2019-05-18 16:35:00,Round 9,0,2019-05-18 16:35:00,Kardinia Park,Geelong,7,7,9,133,13
1558248000,Greater Western Sydney,45,20,3,Carlton,0,2019-05-19 19:20:02,9,100,Full Time,+10:00,3187,3,2019,2019-05-19 16:40:00,Round 9,0,2019-05-19 16:40:00,Sydney Showground,Greater Western Sydney,18,9,9,138,7
1558171500,Sydney,77,10,11,Sydney,0,2019-05-18 22:04:02,12,100,Full Time,+10:00,3184,16,2019,2019-05-18 19:25:00,Round 9,0,2019-05-18 19:25:00,Bellerive Oval,North Melbourne,12,16,9,72,11
1558235400,Port Adelaide,51,13,9,Gold Coast,0,2019-05-19 15:46:02,13,100,Full Time,+10:00,3185,8,2019,2019-05-19 12:40:00,Round 9,0,2019-05-19 13:10:00,Adelaide Oval,Port Adelaide,11,13,9,89,7
1558243200,Richmond,59,14,11,Hawthorn,0,2019-05-19 17:52:02,14,100,Full Time,+10:00,3186,10,2019,2019-05-19 15:20:00,Round 9,0,2019-05-19 15:20:00,M.C.G.,Richmond,11,14,9,95,8
1558087800,West Coast,69,13,15,Melbourne,0,2019-05-17 22:50:02,17,100,Full Time,+10:00,3168,11,2019,2019-05-17 18:10:00,Round 9,0,2019-05-17 20:10:00,Perth Stadium,West Coast,7,17,9,85,9
1558766100,West Coast,85,10,7,West Coast,0,2019-05-25 19:20:03,1,100,Full Time,+10:00,3195,17,2019,2019-05-25 16:05:00,Round 10,0,2019-05-25 16:35:00,Adelaide Oval,Adelaide,13,17,10,73,13
