round,hscore,agoals,venue,hteam,hbehinds,winnerteamid,date,is_final,localtime,year,roundname,id,ateamid,tz,complete,timestr,updated,hteamid,is_grand_final,abehinds,ateam,winner,ascore,hgoals,unixtime
13,44,8,Subiaco,Fremantle,8,12.0,2005-06-19 14:40:00,0,2005-06-19 12:40:00,2005,Round 13,9887,12,+10:00,100,Full Time,2022-01-25 11:07:17,6,0,18,North Melbourne,North Melbourne,66,6,1119156000
13,90,15,M.C.G.,Melbourne,12,17.0,2005-06-18 14:10:00,0,2005-06-18 14:10:00,2005,Round 13,9883,17,+10:00,100,Full Time,2022-01-25 11:07:17,11,0,15,West Coast,West Coast,105,13,1119067800
13,188,10,Football Park,Port Adelaide,14,13.0,2005-06-17 20:10:00,0,2005-06-17 19:40:00,2005,Round 13,9882,10,+10:00,100,Full Time,2022-01-25 11:07:17,13,0,11,Hawthorn,Port Adelaide,71,29,1119003000
13,62,20,Docklands,Richmond,8,1.0,2005-06-18 19:10:00,0,2005-06-18 19:10:00,2005,Round 13,9884,1,+10:00,100,Full Time,2022-01-25 11:07:17,14,0,12,Adelaide,Adelaide,132,9,1119085800
13,77,10,Stadium Australia,Sydney,11,16.0,2005-06-25 19:15:00,0,2005-06-25 19:15:00,2005,Round 13,9889,4,+10:00,100,Full Time,2022-01-25 11:07:17,16,0,16,Collingwood,Sydney,76,11,1119690900
13,116,10,Marrara Oval,Western Bulldogs,14,18.0,2005-06-18 19:10:00,0,2005-06-18 18:40:00,2005,Round 13,9885,3,+10:00,100,Full Time,2022-01-25 11:07:17,18,0,10,Carlton,Western Bulldogs,70,17,1119085800
14,94,14,Football Park,Adelaide,10,1.0,2005-07-03 12:40:00,0,2005-07-03 12:10:00,2005,Round 14,9895,6,+10:00,100,Full Time,2022-01-25 11:07:17,1,0,4,Fremantle,Adelaide,88,14,1120358400
14,102,9,Docklands,Collingwood,18,4.0,2005-07-01 19:40:00,0,2005-07-01 19:40:00,2005,Round 14,9890,13,+10:00,100,Full Time,2022-01-25 11:07:17,4,0,17,Port Adelaide,Collingwood,71,14,1120210800
14,86,19,Docklands,Essendon,8,12.0,2005-07-02 19:10:00,0,2005-07-02 19:10:00,2005,Round 14,9893,12,+10:00,100,Full Time,2022-01-25 11:07:17,5,0,14,North Melbourne,North Melbourne,128,13,1120295400
14,113,8,Docklands,Geelong,17,7.0,2005-07-03 14:10:00,0,2005-07-03 14:10:00,2005,Round 14,9897,10,+10:00,100,Full Time,2022-01-25 11:07:17,7,0,10,Hawthorn,Geelong,58,16,1120363800
14,92,25,Gabba,Melbourne,14,2.0,2005-07-02 19:10:00,0,2005-07-02 19:10:00,2005,Round 14,9894,2,+10:00,100,Full Time,2022-01-25 11:07:17,11,0,16,Brisbane Lions,Brisbane Lions,166,13,1120295400
14,85,12,M.C.G.,Richmond,13,14.0,2005-07-02 14:10:00,0,2005-07-02 14:10:00,2005,Round 14,9891,16,+10:00,100,Full Time,2022-01-25 11:07:17,14,0,12,Sydney,Richmond,84,12,1120277400
14,139,9,Subiaco,West Coast,13,17.0,2005-07-02 14:10:00,0,2005-07-02 12:10:00,2005,Round 14,9892,3,+10:00,100,Full Time,2022-01-25 11:07:17,17,0,8,Carlton,West Coast,62,21,1120277400
