hteamid,updated,is_grand_final,tz,timestr,complete,unixtime,ateam,abehinds,hgoals,winner,ascore,date,is_final,agoals,hscore,round,winnerteamid,hbehinds,venue,hteam,ateamid,id,roundname,year,localtime
5,2022-01-25 11:07:31,0,+10:00,Full Time,100,960091800,North Melbourne,4,17,Essendon,70,2000-06-04 14:10:00,0,11,119,13,5.0,17,M.C.G.,Essendon,12,10811,Round 13,2000,2000-06-04 14:10:00
6,2022-01-25 11:07:31,0,+10:00,Full Time,100,960088800,St Kilda,8,14,Fremantle,56,2000-06-04 13:20:00,0,8,100,13,6.0,16,Subiaco,Fremantle,15,10814,Round 13,2000,2000-06-04 11:20:00
7,2022-01-25 11:07:31,0,+10:00,Full Time,100,960091800,Western Bulldogs,11,19,Geelong,119,2000-06-04 14:10:00,0,18,126,13,7.0,12,Docklands,Geelong,18,10812,Round 13,2000,2000-06-04 14:10:00
11,2022-01-25 11:07:31,0,+10:00,Full Time,100,960005400,Carlton,9,9,Carlton,159,2000-06-03 14:10:00,0,25,61,13,3.0,7,M.C.G.,Melbourne,3,10808,Round 13,2000,2000-06-03 14:10:00
13,2022-01-25 11:07:31,0,+10:00,Full Time,100,960023400,Collingwood,9,12,Port Adelaide,75,2000-06-03 19:10:00,0,11,89,13,13.0,17,Football Park,Port Adelaide,4,10809,Round 13,2000,2000-06-03 18:40:00
14,2022-01-25 11:07:31,0,+10:00,Full Time,100,959938800,Adelaide,19,17,Adelaide,121,2000-06-02 19:40:00,0,17,112,13,1.0,10,Docklands,Richmond,1,10807,Round 13,2000,2000-06-02 19:40:00
16,2022-01-25 11:07:31,0,+10:00,Full Time,100,960093600,Hawthorn,12,16,Sydney,78,2000-06-04 14:40:00,0,11,109,13,16.0,13,S.C.G.,Sydney,10,10813,Round 13,2000,2000-06-04 14:40:00
1,2022-01-25 11:07:31,0,+10:00,Full Time,100,960718200,Fremantle,6,22,Adelaide,72,2000-06-11 20:10:00,0,11,145,14,1.0,13,Football Park,Adelaide,6,10821,Round 14,2000,2000-06-11 19:40:00
3,2022-01-25 11:07:31,0,+10:00,Full Time,100,960696600,Geelong,7,15,Carlton,97,2000-06-11 14:10:00,0,15,107,14,3.0,17,Princes Park,Carlton,7,10818,Round 14,2000,2000-06-11 14:10:00
11,2022-01-25 11:07:31,0,+10:00,Full Time,100,960610200,Collingwood,6,22,Melbourne,78,2000-06-10 14:10:00,0,12,143,14,11.0,11,M.C.G.,Melbourne,4,10816,Round 14,2000,2000-06-10 14:10:00
12,2022-01-25 11:07:31,0,+10:00,Full Time,100,960543600,Brisbane Lions,10,17,North Melbourne,112,2000-06-09 19:40:00,0,17,116,14,12.0,14,Docklands,North Melbourne,2,10815,Round 14,2000,2000-06-09 19:40:00
14,2022-01-25 11:07:31,0,+10:00,Full Time,100,960783000,Western Bulldogs,10,12,Richmond,52,2000-06-12 14:10:00,0,7,87,14,14.0,15,M.C.G.,Richmond,18,10822,Round 14,2000,2000-06-12 14:10:00
15,2022-01-25 11:07:31,0,+10:00,Full Time,100,960696600,Hawthorn,9,13,Hawthorn,171,2000-06-11 14:10:00,0,27,86,14,10.0,8,M.C.G.,St Kilda,10,10820,Round 14,2000,2000-06-11 14:10:00
16,2022-01-25 11:07:31,0,+10:00,Full Time,100,960696600,Essendon,17,11,Essendon,89,2000-06-11 14:10:00,0,12,76,14,5.0,10,S.C.G.,Sydney,5,10819,Round 14,2000,2000-06-11 14:10:00
17,2022-01-25 11:07:31,0,+10:00,Full Time,100,960626400,Port Adelaide,11,10,Port Adelaide,107,2000-06-10 18:40:00,0,16,71,14,13.0,11,Subiaco,West Coast,13,10817,Round 14,2000,2000-06-10 16:40:00
3,2022-01-25 11:07:31,0,+10:00,Full Time,100,961215000,Adelaide,12,19,Carlton,96,2000-06-17 14:10:00,0,14,120,15,3.0,6,Princes Park,Carlton,1,10824,Round 15,2000,2000-06-17 14:10:00
4,2022-01-25 11:07:31,0,+10:00,Full Time,100,961148400,St Kilda,4,17,Collingwood,82,2000-06-16 19:40:00,0,13,115,15,4.0,13,M.C.G.,Collingwood,15,10823,Round 15,2000,2000-06-16 19:40:00
5,2022-01-25 11:07:31,0,+10:00,Full Time,100,961234800,West Coast,10,15,Essendon,76,2000-06-17 19:40:00,0,11,108,15,5.0,18,Docklands,Essendon,17,10827,Round 15,2000,2000-06-17 19:40:00
