tz,complete,timestr,updated,hteamid,is_grand_final,ateam,abehinds,winner,ascore,hgoals,unixtime,round,agoals,hscore,venue,hbehinds,hteam,winnerteamid,date,is_final,localtime,year,roundname,id,ateamid
+10:00,100,Full Time,2022-01-25 11:07:14,16,0,St Kilda,10,St Kilda,52,7,1149930600,11,7,50,S.C.G.,8,Sydney,15.0,2006-06-10 19:10:00,0,2006-06-10 19:10:00,2006,Round 11,9684,15
+10:00,100,Full Time,2022-01-25 11:07:14,17,0,Carlton,11,West Coast,101,16,1150000800,11,15,111,Subiaco,15,West Coast,17.0,2006-06-11 14:40:00,0,2006-06-11 12:40:00,2006,Round 11,9687,3
+10:00,100,Full Time,2022-01-25 11:07:14,18,0,Fremantle,14,Western Bulldogs,86,15,1149999000,11,12,100,Docklands,10,Western Bulldogs,18.0,2006-06-11 14:10:00,0,2006-06-11 14:10:00,2006,Round 11,9686,6
+10:00,100,Full Time,2022-01-25 11:07:14,2,0,Western Bulldogs,13,Western Bulldogs,145,14,1150535400,12,22,103,Gabba,19,Brisbane Lions,18.0,2006-06-17 19:10:00,0,2006-06-17 19:10:00,2006,Round 12,9691,18
+10:00,100,Full Time,2022-01-25 11:07:14,5,0,Melbourne,15,Melbourne,111,10,1150603800,12,16,75,Docklands,15,Essendon,11.0,2006-06-18 14:10:00,0,2006-06-18 14:10:00,2006,Round 12,9694,11
+10:00,100,Full Time,2022-01-25 11:07:14,6,0,Geelong,10,Geelong,118,6,1150517400,12,18,52,Subiaco,16,Fremantle,7.0,2006-06-17 14:10:00,0,2006-06-17 12:10:00,2006,Round 12,9690,7
+10:00,100,Full Time,2022-01-25 11:07:14,10,0,Richmond,16,Hawthorn,64,16,1150600200,12,8,105,York Park,9,Hawthorn,10.0,2006-06-18 13:10:00,0,2006-06-18 13:10:00,2006,Round 12,9693,14
+10:00,100,Full Time,2022-01-25 11:07:14,12,0,Carlton,12,North Melbourne,102,18,1151055600,12,15,121,Docklands,13,North Melbourne,12.0,2006-06-23 19:40:00,0,2006-06-23 19:40:00,2006,Round 12,9695,3
+10:00,100,Full Time,2022-01-25 11:07:14,13,0,West Coast,12,Port Adelaide,60,13,1150535400,12,8,97,Football Park,19,Port Adelaide,13.0,2006-06-17 19:10:00,0,2006-06-17 18:40:00,2006,Round 12,9692,17
+10:00,100,Full Time,2022-01-25 11:07:14,15,0,Adelaide,15,Adelaide,123,8,1150450800,12,18,60,Docklands,12,St Kilda,1.0,2006-06-16 19:40:00,0,2006-06-16 19:40:00,2006,Round 12,9689,1
+10:00,100,Full Time,2022-01-25 11:07:14,16,0,Collingwood,11,Collingwood,95,11,1151140200,12,14,82,Stadium Australia,16,Sydney,4.0,2006-06-24 19:10:00,0,2006-06-24 19:10:00,2006,Round 12,9696,4
+10:00,100,Full Time,2022-01-25 11:07:14,1,0,Geelong,7,Adelaide,55,21,1151808000,13,8,147,Football Park,21,Adelaide,1.0,2006-07-02 12:40:00,0,2006-07-02 12:10:00,2006,Round 13,9702,7
+10:00,100,Full Time,2022-01-25 11:07:14,2,0,Carlton,14,Brisbane Lions,56,8,1151745000,13,7,71,Gabba,23,Brisbane Lions,2.0,2006-07-01 19:10:00,0,2006-07-01 19:10:00,2006,Round 13,9700,3
+10:00,100,Full Time,2022-01-25 11:07:14,11,0,Port Adelaide,10,Melbourne,82,18,1151727000,13,12,120,M.C.G.,12,Melbourne,11.0,2006-07-01 14:10:00,0,2006-07-01 14:10:00,2006,Round 13,9699,13
+10:00,100,Full Time,2022-01-25 11:07:14,12,0,Essendon,11,North Melbourne,89,14,1151660400,13,13,96,Docklands,12,North Melbourne,12.0,2006-06-30 19:40:00,0,2006-06-30 19:40:00,2006,Round 13,9697,5
+10:00,100,Full Time,2022-01-25 11:07:14,14,0,Collingwood,9,Richmond,45,13,1151813400,13,6,92,M.C.G.,14,Richmond,14.0,2006-07-02 14:10:00,0,2006-07-02 14:10:00,2006,Round 13,9703,4
+10:00,100,Full Time,2022-01-25 11:07:14,15,0,Hawthorn,7,St Kilda,55,18,1151727000,13,8,125,Docklands,17,St Kilda,15.0,2006-07-01 14:10:00,0,2006-07-01 14:10:00,2006,Round 13,9698,10
+10:00,100,Full Time,2022-01-25 11:07:14,16,0,Fremantle,4,Sydney,58,12,1151745000,13,9,91,S.C.G.,19,Sydney,16.0,2006-07-01 19:10:00,0,2006-07-01 19:10:00,2006,Round 13,9701,6
+10:00,100,Full Time,2022-01-25 11:07:14,17,0,Western Bulldogs,13,Western Bulldogs,73,8,1151815200,13,10,64,Subiaco,16,West Coast,18.0,2006-07-02 14:40:00,0,2006-07-02 12:40:00,2006,Round 13,9704,18
